Date,site_temp_min,site_temp_max,site_temp_WMO,site_temp_USGS,Barom,RelHum,WindGustSpeed,WindSpeed,RadiationIn,WindDir
2014/07/27,4.6,6.8,5.7,5.8,100.9,95.9,5.7,3.0,nan,nan
2014/07/28,5.5,8.4,6.9,6.6,100.9,93.0,2.3,0.6,nan,130
2014/07/29,4.1,7.1,5.6,5.9,100.7,97.3,4.5,2.0,nan,109
2014/07/30,3.5,7.3,5.4,5.1,101.3,92.4,2.1,0.8,nan,nan
2014/07/31,4.9,12.3,8.6,8.3,101.5,66.1,3.5,1.7,nan,nan
2014/08/01,9.5,14.7,12.1,11.1,101.4,56.4,1.9,0.8,nan,333
2014/08/02,9.4,15.1,12.3,11.9,101.1,45.7,2.6,1.2,nan,nan
2014/08/03,10.3,14.2,12.3,11.8,101.1,63.7,2.1,0.9,nan,nan
2014/08/04,7.2,11.7,9.4,9.6,100.8,85.0,4.1,2.0,nan,nan
2014/08/05,5.6,8.8,7.2,7.5,100.7,84.6,3.4,1.8,nan,nan
2014/08/06,4.1,6.7,5.4,5.2,100.9,94.8,1.8,0.7,nan,nan
2014/08/07,3.6,7.8,5.7,5.5,100.7,86.2,1.6,0.4,nan,91
2014/08/08,4.6,5.7,5.2,5.1,100.7,93.9,4.7,2.6,nan,nan
2014/08/09,4.8,6.0,5.4,5.4,100.5,96.0,8.7,5.4,nan,nan
2014/08/10,4.7,8.5,6.6,6.9,100.5,99.8,5.9,3.5,nan,nan
2014/08/11,4.9,10.7,7.8,5.7,100.7,99.6,4.3,2.2,nan,nan
2014/08/12,8.2,11.1,9.6,9.4,100.5,92.9,5.9,3.1,nan,nan
2014/08/13,5.9,8.5,7.2,6.9,100.6,95.3,5.1,3.1,nan,nan
2014/08/14,6.1,9.1,7.6,7.1,100.8,99.3,6.2,3.7,nan,nan
2014/08/15,5.6,9.5,7.6,8.0,100.6,94.7,6.4,3.3,nan,nan
2014/08/16,4.6,6.8,5.7,5.6,101.0,90.5,3.9,2.0,nan,nan
2014/08/17,3.9,6.4,5.1,5.2,100.6,99.9,10.6,6.7,nan,nan
2014/08/18,4.4,5.7,5.1,4.9,100.5,99.2,3.3,1.2,nan,nan
2014/08/19,4.0,6.7,5.3,5.1,100.6,91.6,5.4,3.2,nan,nan
2014/08/20,5.8,12.8,9.3,9.6,100.7,63.2,4.1,1.5,nan,46
2014/08/21,9.4,13.6,11.5,11.4,101.2,56.5,4.7,1.7,nan,15
2014/08/22,9.5,13.4,11.4,11.6,101.4,61.3,1.3,0.4,nan,126
2014/08/23,5.9,11.2,8.5,8.5,101.2,71.5,4.1,1.5,nan,72
2014/08/24,5.4,9.4,7.4,7.0,100.8,86.1,5.4,3.3,nan,nan
2014/08/25,5.0,7.6,6.3,6.5,100.4,99.0,4.9,2.7,nan,nan
2014/08/26,3.0,5.0,4.0,3.8,100.4,94.3,3.3,1.3,nan,nan
2014/08/27,3.2,5.8,4.5,4.4,100.8,92.9,2.0,0.7,nan,nan
2014/08/28,3.5,4.7,4.1,4.1,100.5,94.9,4.1,1.9,nan,nan
2014/08/29,2.8,5.1,4.0,4.0,99.6,92.9,3.6,1.8,nan,nan
2014/08/30,2.7,4.5,3.6,3.7,99.6,98.3,2.3,1.0,nan,nan
2014/08/31,2.6,3.9,3.2,3.1,99.8,96.8,4.0,2.0,nan,nan
2014/09/01,2.9,4.8,3.8,3.8,99.9,96.3,2.3,0.9,nan,124
2014/09/02,2.0,5.0,3.5,3.6,100.6,85.5,3.5,1.7,nan,nan
2014/09/03,3.5,4.9,4.2,4.2,100.8,100.0,3.5,1.9,nan,nan
2014/09/04,3.9,4.5,4.2,4.2,101.1,100.0,4.4,2.6,nan,nan
2014/09/05,4.3,6.0,5.2,5.4,100.9,100.0,9.8,6.2,nan,nan
2014/09/06,3.3,5.3,4.3,4.3,100.6,99.8,6.4,3.8,nan,nan
2014/09/07,3.5,5.7,4.6,5.0,100.3,90.0,5.9,2.3,nan,33
2014/09/08,-0.9,3.4,1.2,1.0,100.8,75.1,7.0,3.7,nan,nan
2014/09/09,-0.9,6.1,2.6,3.0,101.3,49.8,3.9,1.2,nan,180
2014/09/10,2.5,6.0,4.2,5.0,101.4,57.1,3.7,2.1,nan,nan
2014/09/11,2.4,4.6,3.5,3.3,101.4,98.9,3.9,2.1,nan,nan
2014/09/12,3.8,6.1,5.0,4.8,101.5,89.8,2.0,0.9,nan,nan
2014/09/13,4.8,8.1,6.4,6.0,101.0,92.0,3.0,1.5,nan,nan
2014/09/14,5.1,12.4,8.8,8.8,100.8,72.5,1.8,0.6,nan,347
2014/09/15,7.8,9.6,8.7,8.8,100.5,72.6,4.9,2.8,nan,nan
2014/09/16,5.5,7.8,6.7,6.3,100.3,87.3,3.0,1.4,nan,nan
2014/09/17,4.2,5.7,5.0,4.9,99.8,82.6,3.8,1.9,nan,nan
2014/09/18,2.3,4.9,3.6,3.9,98.8,93.4,7.9,4.1,nan,nan
2014/09/19,2.3,3.9,3.1,3.1,99.5,99.7,10.4,6.5,nan,nan
2014/09/20,0.6,5.5,3.1,3.3,99.8,99.0,6.8,3.6,nan,nan
2014/09/21,1.8,8.4,5.1,4.6,99.2,97.4,10.5,5.8,nan,nan
2014/09/22,0.4,3.2,1.8,1.4,99.8,98.6,6.4,3.3,nan,nan
2014/09/23,0.7,7.1,3.9,3.5,100.1,82.1,4.4,1.7,nan,nan
2014/09/24,5.2,6.4,5.8,5.7,99.6,56.6,11.9,4.7,nan,nan
2014/09/25,0.8,5.2,3.0,2.9,100.2,81.7,7.2,2.6,nan,23
2014/09/26,1.7,5.2,3.5,3.3,100.4,89.1,2.2,0.9,nan,321
2014/09/27,3.5,4.9,4.2,4.3,100.1,96.5,4.9,2.5,nan,nan
2014/09/28,2.8,5.0,3.9,3.5,99.4,98.4,6.1,3.1,nan,nan
2014/09/29,1.8,3.8,2.8,2.5,99.7,95.4,2.9,1.2,nan,105
2014/09/30,-2.8,2.2,-0.3,-0.0,99.9,94.9,8.0,4.0,nan,134
