Date,site_temp_min,site_temp_max,site_temp_WMO,site_temp_USGS,Barom,RelHum,WindGustSpeed,WindSpeed,VecAvgWindDir,WindDir
2013/12/09,nan,nan,nan,nan,87.6,nan,nan,5.4,nan,nan
2013/12/10,nan,nan,nan,nan,86.9,nan,nan,4.7,nan,nan
2013/12/11,nan,nan,nan,nan,85.0,nan,nan,21.1,nan,nan
2013/12/12,nan,nan,nan,nan,85.2,nan,nan,nan,nan,nan
2013/12/13,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2013/12/14,nan,nan,nan,nan,84.4,nan,nan,nan,nan,nan
2013/12/15,nan,nan,nan,nan,85.7,nan,nan,nan,nan,nan
2013/12/16,nan,nan,nan,nan,86.1,nan,nan,nan,nan,nan
2013/12/17,nan,nan,nan,nan,86.3,nan,nan,nan,nan,nan
2013/12/18,nan,nan,nan,nan,87.4,nan,nan,nan,nan,nan
2013/12/19,nan,nan,nan,nan,85.9,nan,nan,nan,nan,nan
2013/12/20,nan,nan,nan,nan,85.7,nan,nan,nan,nan,nan
2013/12/21,nan,nan,nan,nan,86.2,nan,nan,nan,nan,nan
2013/12/22,nan,nan,nan,nan,85.2,nan,nan,nan,nan,nan
2013/12/23,nan,nan,nan,nan,86.0,nan,nan,nan,nan,nan
2013/12/24,nan,nan,nan,nan,86.7,nan,nan,nan,nan,nan
2013/12/25,nan,nan,nan,nan,86.0,nan,nan,nan,nan,nan
2013/12/26,nan,nan,nan,nan,85.7,nan,nan,nan,nan,nan
2013/12/27,nan,nan,nan,nan,86.6,nan,nan,nan,nan,nan
2013/12/28,nan,nan,nan,nan,86.7,nan,nan,nan,nan,nan
2013/12/29,nan,nan,nan,nan,86.5,nan,nan,nan,nan,nan
2013/12/30,nan,nan,nan,nan,85.6,nan,nan,nan,nan,nan
2013/12/31,nan,nan,nan,nan,86.5,nan,nan,nan,nan,nan
2014/01/01,nan,nan,nan,nan,85.9,nan,nan,nan,nan,nan
2014/01/02,nan,nan,nan,nan,86.2,nan,nan,nan,nan,nan
2014/01/03,nan,nan,nan,nan,87.4,nan,nan,nan,nan,nan
2014/01/04,nan,nan,nan,nan,87.6,nan,nan,nan,nan,nan
2014/01/05,nan,nan,nan,nan,86.9,nan,nan,nan,nan,nan
2014/01/06,nan,nan,nan,nan,86.6,nan,nan,nan,nan,nan
2014/01/07,nan,nan,nan,nan,85.9,nan,nan,nan,nan,nan
2014/01/08,nan,nan,nan,nan,84.8,nan,nan,nan,nan,nan
2014/01/09,nan,nan,nan,nan,84.6,nan,nan,nan,nan,nan
2014/01/10,nan,nan,nan,nan,85.0,nan,nan,nan,nan,nan
2014/01/11,nan,nan,nan,nan,84.2,nan,nan,nan,nan,nan
2014/01/12,nan,nan,nan,nan,84.2,nan,nan,nan,nan,nan
2014/01/13,nan,nan,nan,nan,85.9,nan,nan,nan,nan,nan
2014/01/14,nan,nan,nan,nan,85.4,nan,nan,nan,nan,nan
2014/01/15,nan,nan,nan,nan,87.4,nan,nan,nan,nan,164
2014/01/16,nan,nan,nan,nan,86.8,nan,nan,nan,nan,nan
2014/01/17,nan,nan,nan,nan,86.5,nan,nan,nan,nan,nan
2014/01/18,nan,nan,nan,nan,85.9,nan,nan,nan,nan,nan
2014/01/19,nan,nan,nan,nan,87.2,nan,nan,nan,nan,nan
2014/01/20,nan,nan,nan,nan,87.1,nan,nan,nan,nan,nan
2014/01/21,nan,nan,nan,nan,86.8,nan,nan,nan,nan,nan
2014/01/22,nan,nan,nan,nan,87.2,nan,nan,nan,nan,nan
2014/01/23,nan,nan,nan,nan,87.9,nan,nan,nan,nan,nan
2014/01/24,nan,nan,nan,nan,88.1,nan,nan,nan,nan,nan
2014/01/25,nan,nan,nan,nan,87.8,nan,nan,nan,nan,116
2014/01/26,nan,nan,nan,nan,87.5,56.0,nan,8.3,nan,nan
2014/01/27,0.2,4.4,2.3,2.3,87.0,63.1,nan,10.1,nan,nan
2014/01/28,-3.0,-0.3,-1.7,-1.8,87.0,99.8,nan,nan,177,nan
2014/01/29,-4.1,-2.5,-3.3,-3.2,86.8,98.6,nan,nan,nan,nan
2014/01/30,-7.9,-3.9,-5.9,-6.1,87.0,77.9,nan,5.4,71,nan
2014/01/31,-8.1,-4.7,-6.4,-6.3,87.0,84.0,nan,4.4,67,nan
2014/02/01,-9.4,-6.0,-7.7,-7.2,87.4,73.0,nan,6.0,47,nan
2014/02/02,-10.8,-8.0,-9.4,-9.1,87.7,68.7,nan,8.0,47,48
2014/02/03,-14.9,-10.8,-12.9,-12.9,88.0,72.4,nan,16.4,nan,nan
2014/02/04,-16.5,-14.2,-15.4,-15.3,88.1,65.7,nan,21.2,nan,nan
2014/02/05,-17.1,-15.1,-16.1,-16.2,88.1,70.8,nan,16.9,nan,nan
2014/02/06,-17.1,-11.0,-14.1,-13.5,87.0,39.3,nan,5.0,72,nan
2014/02/07,-18.2,-13.8,-16.0,-16.7,86.4,60.6,nan,10.8,nan,nan
2014/02/08,-19.7,-18.1,-18.9,-18.8,86.8,76.4,nan,10.9,nan,nan
2014/02/09,-22.7,-19.7,-21.2,-21.2,86.5,83.5,nan,12.5,nan,nan
2014/02/10,-23.9,-22.2,-23.1,-23.0,85.5,76.5,nan,24.8,nan,nan
2014/02/11,-26.2,-24.0,-25.1,-25.2,85.1,79.3,nan,16.4,nan,nan
2014/02/12,-24.5,-13.7,-19.1,-19.8,84.7,86.3,nan,7.4,93,nan
2014/02/13,-14.3,-7.7,-11.0,-11.2,84.3,92.9,nan,14.8,nan,nan
2014/02/14,-10.3,-5.9,-8.1,-7.9,83.9,96.3,nan,18.0,126,nan
2014/02/15,-8.1,-4.3,-6.2,-5.5,83.7,98.0,nan,19.8,nan,nan
2014/02/16,-10.2,-8.5,-9.3,-9.4,84.1,95.4,nan,8.6,134,nan
2014/02/17,-9.6,-7.0,-8.3,-8.5,84.3,95.9,nan,8.3,nan,nan
2014/02/18,-11.9,-7.8,-9.9,-9.8,84.5,94.9,nan,8.9,nan,nan
2014/02/19,-12.2,-9.4,-10.8,-11.3,85.3,93.0,nan,3.7,86,nan
2014/02/20,-11.6,-9.0,-10.3,-10.8,86.1,94.2,nan,3.8,nan,nan
2014/02/21,-14.8,-7.9,-11.4,-11.2,87.2,94.1,nan,2.0,125,nan
2014/02/22,-16.5,-15.0,-15.7,-15.9,87.5,79.4,nan,16.5,nan,nan
2014/02/23,-18.1,-11.3,-14.7,-14.9,87.2,52.5,nan,15.6,nan,nan
2014/02/24,-14.1,-11.2,-12.7,-12.5,87.0,38.3,nan,14.1,nan,nan
2014/02/25,-12.0,-1.1,-6.6,-7.0,87.1,38.2,nan,8.7,nan,nan
2014/02/26,-5.9,0.9,-2.5,-3.0,86.5,69.6,nan,9.9,nan,nan
2014/02/27,-8.5,-4.9,-6.7,-6.4,86.4,56.9,nan,13.6,nan,nan
2014/02/28,-12.1,-8.6,-10.3,-10.6,86.6,65.8,nan,13.8,nan,nan
2014/03/01,-15.6,-11.9,-13.8,-13.7,86.6,47.7,nan,11.5,nan,nan
2014/03/02,-17.7,-15.4,-16.5,-16.3,86.1,49.2,nan,17.8,78,nan
2014/03/03,-20.6,-16.4,-18.5,-19.0,86.0,54.0,nan,16.3,nan,nan
2014/03/04,-21.3,-19.8,-20.6,-20.5,86.5,57.6,nan,10.0,nan,nan
2014/03/05,-20.8,-15.4,-18.1,-18.3,85.7,57.6,nan,14.9,nan,nan
2014/03/06,-16.8,-14.7,-15.7,-15.9,85.5,52.7,nan,12.9,nan,nan
2014/03/07,-15.9,-4.3,-10.1,-13.4,85.1,77.8,nan,18.2,nan,nan
2014/03/08,-4.2,-2.4,-3.3,-3.2,83.9,99.4,nan,21.3,136,nan
2014/03/09,-5.8,-4.0,-4.9,-4.6,85.0,98.6,nan,nan,205,nan
2014/03/10,-6.5,-4.6,-5.6,-5.7,86.1,97.8,nan,nan,nan,nan
2014/03/11,-4.8,-2.8,-3.8,-3.8,85.8,99.1,nan,nan,nan,nan
