Date,site_temp_min,site_temp_max,site_temp_WMO,site_temp_USGS,Barom,RelHum,WindGustSpeed,WindSpeed,VecAvgWindDir
7/10/12,-2.1,1.3,-0.4,-1.1,5.9,98,nan,nan,nan
7/11/12,-2.6,1.9,-0.4,-0.8,5.9,97.4,nan,3.3,nan
7/12/12,-1.2,6.1,2.4,3.9,5.9,65.5,nan,2.5,83
7/13/12,3.5,5,4.3,4.3,5.9,95.2,nan,2.7,132
7/14/12,2.4,8.3,5.3,4.6,5.9,90.1,nan,0.9,221
7/15/12,4.6,8.3,6.5,7,6,66.6,nan,1.7,158
7/16/12,0.7,5.1,2.9,2.1,6,99.4,nan,2.5,nan
7/17/12,0.4,7.5,4,4.6,6,86.1,nan,1.1,252
7/18/12,3.2,9.4,6.3,6.4,6,73.3,nan,1.5,nan
7/19/12,6.8,10.1,8.4,8,6,71.2,nan,7.2,nan
7/20/12,7.3,11.5,9.4,9.5,6,66.9,nan,1.3,nan
7/21/12,5.6,9.5,7.5,7.7,6,83.3,nan,2.1,nan
7/22/12,4.1,10.1,7.1,6.5,5.9,91.1,nan,1.4,274
7/23/12,4.7,6.4,5.5,5.8,6,95.7,nan,1.7,263
7/24/12,2.8,7.9,5.3,5.3,5.9,90,nan,1,21
7/25/12,5.7,10.5,8.1,7.6,5.9,61,nan,2.9,nan
7/26/12,9.3,12.7,11,10.9,5.9,54.6,nan,3.8,nan
7/27/12,4.7,10.8,7.7,7.7,5.9,78.2,nan,1.8,98
7/28/12,3,6,4.5,4.5,5.9,82.4,nan,1.5,152
7/29/12,2.6,4.7,3.6,3.5,5.9,82.4,nan,1.6,132
7/30/12,2.4,4.2,3.3,3.2,5.9,94.1,nan,1.8,183
7/31/12,1,2.6,1.8,1.8,5.9,94,nan,4.1,nan
8/1/12,1,4.2,2.6,2.6,5.9,94.2,nan,1.3,221
8/2/12,2.4,3.7,3,2.9,5.9,95.4,nan,3.9,nan
8/3/12,2.1,3,2.6,2.6,6,99.6,nan,3.1,nan
8/4/12,1.8,6.9,4.3,4.3,6,81.1,nan,2.5,79
8/5/12,3.7,4.6,4.1,4.1,6,87.5,nan,3.6,nan
8/6/12,4.3,7,5.7,5.5,6,92.9,nan,5,nan
8/7/12,6.3,8.3,7.3,7.1,6,91.8,nan,4.2,nan
8/8/12,3.9,8.7,6.3,6.3,6,88.9,nan,3.8,nan
8/9/12,0,3.8,1.9,0.7,6,99.4,nan,3.1,nan
8/10/12,-0.1,2.6,1.3,1,6,98.8,nan,2.7,nan
8/11/12,0.5,5.2,2.9,3.3,6,90.2,nan,3.6,96
8/12/12,2.6,4.6,3.6,4,6,91.4,nan,3.3,nan
8/13/12,1.9,7.9,4.9,4.9,6,82.1,nan,2.1,38
8/14/12,7.2,10.9,9.1,8.6,6,67.1,nan,2.3,58
8/15/12,6.4,9.4,7.9,7.7,6,78,nan,1.9,262
8/16/12,2.7,7,4.9,5,6,91.6,nan,2.9,nan
8/17/12,2.7,6.6,4.7,5.1,6,91.6,nan,6.2,nan
8/18/12,3.9,6.5,5.2,5,6,82.8,nan,3.1,137
8/19/12,3.6,8.5,6,6.5,6,47.4,nan,2,nan
8/20/12,4.8,7.1,5.9,6.2,6,66.1,nan,1.8,191
8/21/12,4.2,7,5.6,5.3,6,85.2,nan,0.9,221
8/22/12,2.2,4.7,3.5,3.6,6,97.6,nan,1.5,nan
8/23/12,1.9,3.2,2.5,2.5,6,99.8,nan,2.4,nan
8/24/12,1.3,2.4,1.9,1.8,6,97.2,nan,1.9,173
8/25/12,0.6,1.6,1.1,1.3,6,99.4,nan,1.1,215
8/26/12,1.7,6.7,4.2,4.2,6,78.4,nan,4.5,nan
8/27/12,3.3,6.6,5,4.8,6,75.9,nan,2.1,200
8/28/12,0,4,2,1.9,6,92.4,nan,5.5,nan
8/29/12,0,3.6,1.8,1.7,6,73.1,nan,7.4,nan
8/30/12,2.8,7.4,5.1,5,6,67.3,nan,2,337
8/31/12,2.2,5.5,3.9,3.7,6,77.3,nan,1.5,257
9/1/12,0.8,3.8,2.3,1.7,6,80.6,nan,4.9,131
9/2/12,-1.1,0.8,-0.1,-0.1,6,99.3,nan,2.9,nan
9/3/12,0,3.3,1.7,1.6,6,99.4,nan,2.6,nan
9/4/12,-0.4,3.5,1.5,1.6,6,99.5,nan,4.6,nan
9/5/12,-1,2.8,0.9,0.9,6.1,99.8,nan,3,nan
9/6/12,-1.4,2.7,0.6,-0.3,6.1,100,nan,4.4,nan
9/7/12,-2.6,2.4,-0.1,-0.5,6.1,97.1,nan,3.5,172
9/8/12,0.5,3,1.7,1.8,6.1,95.7,nan,4.9,184
9/9/12,-1.9,0.2,-0.8,-1,6.1,99,nan,nan,nan
9/10/12,-3.1,1.1,-1,-1.9,6.1,97.4,nan,1.4,246
9/11/12,-3,-1.2,-2.1,-2.2,6.1,99.4,nan,2.9,nan
9/12/12,-1.3,1.7,0.2,0.5,6.1,97.9,nan,4.3,191
9/13/12,-0.7,2.1,0.7,1,6.1,93.7,nan,4.9,nan
9/14/12,-2.4,0.1,-1.2,-1.1,6.1,99.9,nan,nan,nan
9/15/12,-2,0.3,-0.8,-0.9,6.1,100,nan,1.9,nan
9/16/12,-1.2,2.9,0.9,0.2,6.2,92.6,nan,3.2,185
9/17/12,-1.7,1.8,0,0.6,6.1,99.1,nan,3.7,nan
9/18/12,-3.4,-0.8,-2.1,-2.1,6.1,97.8,nan,2.1,nan
