Year,Bw,Bs,Ba,ELA,Bw_Date,Ba_Date,Calibration
1953,nan,nan,-0.47,nan,nan,nan,0.09
1954,nan,nan,-0.09,nan,nan,nan,0.09
1955,nan,nan,1.21,nan,nan,nan,0.09
1956,nan,nan,-0.55,nan,nan,nan,0.09
1957,nan,nan,0.09,nan,nan,nan,0.09
1958,nan,nan,-0.49,nan,nan,nan,0.09
1959,nan,nan,-0.81,nan,nan,nan,0.09
1960,nan,nan,-0.73,nan,nan,nan,0.09
1961,nan,nan,-0.15,nan,nan,nan,0.09
1962,nan,nan,-0.60,nan,nan,nan,0.09
1963,nan,nan,0.26,nan,nan,nan,0.09
1964,nan,nan,1.13,nan,nan,nan,0.09
1965,nan,nan,0.17,nan,nan,nan,0.09
1966,nan,nan,-0.40,nan,nan,nan,0.09
1967,nan,nan,-0.51,nan,nan,nan,0.09
1968,nan,nan,-0.13,nan,nan,nan,0.09
1969,nan,nan,0.30,nan,nan,nan,0.09
1970,nan,nan,-0.00,nan,nan,nan,0.09
1971,nan,nan,-0.31,nan,nan,nan,0.09
1972,nan,nan,-0.56,nan,nan,nan,0.09
1973,nan,nan,-0.43,nan,nan,nan,0.09
1974,nan,nan,-0.28,nan,nan,nan,0.09
1975,nan,nan,0.38,nan,nan,nan,0.09
1976,nan,nan,-0.16,nan,nan,nan,0.09
1977,nan,nan,-0.39,nan,nan,nan,0.09
1978,nan,nan,-0.71,nan,nan,nan,0.09
1979,nan,nan,-0.54,nan,nan,nan,0.09
1980,nan,nan,-0.18,nan,nan,nan,0.09
1981,nan,nan,-0.72,nan,nan,nan,0.09
1982,nan,nan,-0.34,nan,nan,nan,0.09
1983,nan,nan,-1.53,nan,nan,nan,0.09
1984,nan,nan,-0.16,nan,nan,nan,0.09
1985,nan,nan,0.42,nan,nan,nan,0.09
1986,nan,nan,-0.42,nan,nan,nan,0.09
1987,nan,nan,-0.75,nan,nan,nan,0.09
1988,nan,nan,0.20,nan,nan,nan,0.09
1989,nan,nan,-1.16,nan,nan,nan,0.08
1990,nan,nan,-1.02,nan,nan,nan,0.09
1991,nan,nan,-0.29,nan,nan,nan,0.09
1992,nan,nan,-0.57,nan,nan,nan,0.09
1993,nan,nan,-0.89,nan,nan,nan,0.09
1994,nan,nan,-0.67,nan,nan,nan,0.09
1995,nan,nan,-1.22,nan,nan,nan,0.09
1996,nan,nan,-1.49,nan,nan,nan,0.09
1997,nan,nan,-1.72,nan,nan,nan,0.09
1998,2.83,-3.72,-0.89,1214,1998/04/19,1998/10/04,0.01
1999,2.85,-3.23,-0.38,1113,1999/05/30,1999/10/07,0.01
2000,2.72,-2.79,-0.07,1106,2000/04/29,2000/09/28,0.0
2001,3.19,-3.55,-0.36,1116,2001/05/09,2001/10/10,-0.24
2002,2.84,-3.59,-0.75,1173,2002/05/12,2002/10/27,-0.24
2003,1.79,-3.84,-2.05,1657,2003/04/17,2003/10/20,-0.24
2004,3.12,-4.76,-1.64,1283,2004/04/26,2004/10/11,-0.24
2005,3.09,-4.64,-1.55,1402,2005/04/19,2005/10/09,-0.24
2006,2.91,-3.58,-0.67,1122,2006/05/11,2006/10/10,-0.24
2007,3.27,-3.58,-0.31,1096,2007/05/11,2007/10/01,-0.23
2008,3.34,-2.81,0.53,1007,2008/05/16,2008/10/02,-0.23
2009,2.94,-3.97,-1.03,1242,2009/04/21,2009/09/28,-0.23
2010,2.88,-4.00,-1.12,1225,2010/04/21,2010/10/05,-0.24
2011,2.45,-3.42,-0.97,1181,2011/05/12,2011/10/08,-0.24
2012,3.72,-3.14,0.58,967,2012/05/16,2012/10/11,-0.24
2013,2.79,-4.43,-1.64,1352,2013/05/03,2013/10/24,-0.24
2014,2.33,-4.01,-1.68,1266,2014/04/10,2014/10/18,-0.24
2015,2.44,-4.36,-1.92,1227,2015/04/20,2015/10/25,-0.24
2016,2.58,-4.45,-1.87,1447,2016/05/05,2016/10/08,-0.24
2017,2.44,-4.10,-1.66,1841,2017/04/08,2017/10/07,-0.24
2018,1.96,-4.52,-2.56,1729,2018/05/04,2018/10/25,-0.24
2019,1.92,-5.14,-3.22,2085,2019/05/06,2019/10/01,-0.24
