Year,site_name,spring_date,fall_date,elevation,bw,ba,winter_ablation,summer_accumulation
1948,TKG5,1948/03/01,1948/09/30,992,nan,nan,nan,0.00
1948,TKG4,1948/03/01,1948/09/30,1116,nan,nan,nan,0.00
1948,TR1,1948/03/01,1948/09/30,1242,nan,nan,nan,0.00
1948,TR2,1948/03/01,1948/09/30,1319,nan,nan,nan,0.00
1948,DG1,1948/03/01,1948/09/30,1018,nan,nan,nan,0.00
1948,DG2,1948/03/01,1948/09/30,1175,nan,nan,nan,0.00
1948,DG3,1948/03/01,1948/09/30,1352,nan,nan,nan,0.00
1948,C161,1948/03/01,1948/09/30,1476,nan,nan,nan,0.00
1948,C163,1948/03/01,1948/09/30,1590,nan,nan,nan,0.00
1948,NWB3,1948/03/01,1948/09/30,1413,nan,nan,nan,0.00
1948,MG1,1948/03/01,1948/09/30,1409,nan,nan,nan,0.00
1948,MG2,1948/03/01,1948/09/30,1749,nan,nan,nan,0.00
1948,TSL_333,1948/03/01,1948/09/30,333,nan,nan,nan,nan
1948,TSL_628,1948/03/01,1948/09/30,628,nan,nan,nan,nan
1948,TSL_939,1948/03/01,1948/09/30,939,nan,nan,nan,nan
1949,TKG4A,1949/03/01,1949/08/14,1100,nan,2.48,nan,0.00
1950,TKG4,1950/03/01,1950/07/22,1082,nan,1.05,nan,0.00
1951,TKG4,1951/03/01,1951/06/07,1082,nan,1.87,nan,0.00
1952,TKG4A,1952/03/01,1952/08/23,1090,nan,0.85,nan,0.00
1952,TKA3,1952/03/01,1952/07/07,600,nan,0.39,nan,0.00
1952,TKG4,1952/03/01,1952/08/20,1082,nan,0.99,nan,0.00
1952,TKA1,1952/03/01,1952/07/09,838,nan,1.16,nan,0.00
1952,TKA2,1952/03/01,1952/07/09,746,nan,0.74,nan,0.00
1952,C161,1952/03/01,1952/08/13,1460,nan,1.32,nan,0.00
1952,MG1,1952/03/01,1952/08/13,1411,nan,1.35,nan,0.00
1952,MG2,1952/03/01,1952/07/15,1801,nan,2.42,nan,0.00
1953,TKG4,1953/03/01,1953/08/02,1082,nan,1.13,nan,0.00
1953,NWB1,1953/03/01,1953/07/31,1432,nan,1.79,nan,0.00
1953,MG2,1953/03/01,1953/08/01,1737,nan,2.79,nan,0.00
1961,MG2,1961/03/01,1961/09/13,1737,nan,2.94,nan,0.00
1962,TKG5,1962/03/01,1962/09/01,945,nan,1.07,nan,0.00
1962,SWBJ,1962/03/01,1962/08/22,975,nan,1.57,nan,0.00
1962,IB1,1962/03/01,1962/07/21,1067,nan,3.71,nan,0.00
1962,TKG4,1962/03/01,1962/07/20,1082,nan,2.34,nan,0.00
1962,SWB1,1962/03/01,1962/08/21,1113,nan,2.23,nan,0.00
1962,TKG1,1962/03/01,1962/08/23,1113,nan,2.34,nan,0.00
1962,NWB1,1962/03/01,1962/08/18,1163,nan,2.67,nan,0.00
1962,MG1,1962/03/01,1962/08/17,1433,nan,3.04,nan,0.00
1962,MG2,1962/03/01,1962/08/05,1757,nan,4.10,nan,0.00
1962,MG6,1962/03/01,1962/07/29,1890,nan,4.16,nan,0.00
1963,TKG4,1963/03/01,1963/08/09,1082,nan,1.73,nan,0.00
1963,MG6,1963/03/01,1963/08/30,1814,nan,3.25,nan,0.00
1964,TKG4A,1964/03/01,1964/08/02,1082,nan,2.42,nan,0.00
1964,MG2,1964/03/01,1964/07/22,1737,nan,3.52,nan,0.00
1968,MG2,1968/03/01,1968/07/05,1798,nan,2.83,nan,0.00
1971,TKG4,1971/03/01,1971/08/09,1100,nan,1.33,nan,0.00
1971,MG1,1971/03/01,1971/08/11,1352,nan,1.11,nan,0.00
1971,MG2,1971/03/01,1971/08/11,1800,nan,2.70,nan,0.00
1972,TKG3,1972/03/01,1972/08/11,1249,nan,1.51,nan,0.00
1972,TKG4,1972/03/01,1972/08/11,1082,nan,1.40,nan,0.00
1972,MG1,1972/03/01,1972/08/12,1495,nan,1.73,nan,0.00
1972,MG2,1972/03/01,1972/08/19,1767,nan,2.48,nan,0.00
1973,TKG4,1973/03/01,1973/07/07,1090,nan,1.76,nan,0.00
1973,MG2,1973/03/01,1973/08/02,1780,nan,2.90,nan,0.00
1977,TKG4,1977/03/01,1977/08/15,1100,nan,2.71,nan,0.00
1977,MG1,1977/03/01,1977/08/15,1350,nan,2.68,nan,0.00
1977,MG2,1977/03/01,1977/08/15,1750,nan,3.64,nan,0.00
1978,TKG4,1978/03/01,1978/07/27,1100,nan,1.09,nan,0.00
1978,DG1,1978/03/01,1978/07/12,1000,nan,0.69,nan,0.00
1978,MG1,1978/03/01,nan,1350,nan,1.35,nan,0.00
1978,MG2,1978/03/01,1978/08/06,1880,nan,2.07,nan,0.00
1979,TKG4A,1979/03/01,1979/07/21,1100,nan,1.66,nan,0.00
1979,TKG4,1979/03/01,1979/07/20,1100,nan,1.84,nan,0.00
1979,TKG1,1979/03/01,1979/07/21,1100,nan,1.36,nan,0.00
1979,MG1,1979/03/01,1979/07/23,1350,nan,1.60,nan,0.00
1979,MG2,1979/03/01,1979/07/28,1750,nan,2.84,nan,0.00
1981,TKG5,1981/03/01,1981/07/22,1000,nan,1.73,nan,0.00
1981,TKG3,1981/03/01,1981/07/21,1200,nan,2.04,nan,0.00
1981,MG1,1981/03/01,1981/07/22,1350,nan,2.05,nan,0.00
1983,TKG4,1983/03/01,1983/07/22,1060,nan,0.88,nan,0.00
1983,IB1,1983/03/01,1983/07/18,1100,nan,0.88,nan,0.00
1983,EXB,1983/03/01,1983/07/21,1235,nan,0.96,nan,0.00
1983,MG1,1983/03/01,1983/08/14,1352,nan,1.21,nan,0.00
1983,MG4,1983/03/01,1983/08/12,1549,nan,1.98,nan,0.00
1983,MG2,1983/03/01,1983/08/11,1820,nan,2.15,nan,0.00
1983,MG6,1983/03/01,1983/08/10,1783,nan,2.42,nan,0.00
1984,TKAC1,1984/03/01,1984/07/21,930,nan,0.64,nan,0.00
1984,TKA3,1984/03/01,1984/07/21,750,nan,0.24,nan,0.00
1984,TKG5,1984/03/01,1984/07/21,998,nan,1.35,nan,0.00
1984,TKG3,1984/03/01,1984/07/22,1206,nan,1.69,nan,0.00
1984,TKG4,1984/03/01,1984/07/22,1110,nan,1.91,nan,0.00
1984,TKG4A,1984/03/01,1984/07/22,1110,nan,1.48,nan,0.00
1984,TKG1,1984/03/01,1984/07/26,1149,nan,1.70,nan,0.00
1984,DG1,1984/03/01,1984/07/25,1016,nan,1.09,nan,0.00
1984,SWB1,1984/03/01,1984/07/18,1240,nan,2.54,nan,0.00
1984,SWB2,1984/03/01,1984/07/21,1064,nan,1.49,nan,0.00
1984,NWB3,1984/03/01,1984/07/24,1411,nan,2.06,nan,0.00
1984,C161,1984/03/01,1984/07/24,1439,nan,2.67,nan,0.00
1984,MG1,1984/03/01,1984/08/02,1352,nan,1.67,nan,0.00
1984,MG5,1984/03/01,1984/08/06,1850,nan,3.99,nan,0.00
1984,MG2,1984/03/01,1984/08/04,1808,nan,3.37,nan,0.00
1984,MG6,1984/03/01,1984/08/20,1830,nan,3.35,nan,0.00
1985,TKG4,1985/03/01,1985/07/18,1116,nan,2.98,nan,0.00
1985,TKG5,1985/03/01,1985/07/20,998,nan,2.23,nan,0.00
1985,TKG1,1985/03/01,1985/07/21,1149,nan,2.97,nan,0.00
1985,MG1,1985/03/01,1985/07/27,1352,nan,2.48,nan,0.00
1987,TKG3,1987/03/01,1987/07/27,1206,nan,1.93,nan,0.00
