Year,site_name,Elevation,Date1,Surface1,Date2,Surface2,db
1949,TKG4,1100,1949/08/14,snow,1949/09/18,snow,-0.42
1962,MG2B,1814,1962/06/23,snow,1962/07/09,snow,-0.15
1962,MG2B,1814,1962/06/23,snow,1962/07/09,snow,-0.16
1962,MG2B,1814,1962/06/23,snow,1962/07/09,snow,-0.17
1962,MG2B,1814,1962/06/23,snow,1962/07/09,snow,-0.19
1962,MG2B,1814,1962/06/23,snow,1962/07/09,snow,-0.19
1962,MG2B,1814,1962/06/23,snow,1962/07/09,snow,-0.21
1962,MG2B,1814,1962/07/09,snow,1962/08/06,snow,-0.27
1962,MG2B,1814,1962/07/09,snow,1962/08/06,snow,-0.38
1962,MG2B,1814,1962/07/09,snow,1962/08/06,snow,-0.36
1962,MG2B,1814,1962/07/09,snow,1962/08/06,snow,-0.48
1962,MG2B,1814,1962/07/09,snow,1962/08/06,snow,-0.50
1962,MG2B,1814,1962/07/09,snow,1962/08/06,snow,-0.53
1962,MG2B,1814,1962/06/23,snow,1962/08/06,snow,-0.42
1962,MG2B,1814,1962/06/23,snow,1962/08/06,snow,-0.55
1962,MG2B,1814,1962/06/23,snow,1962/08/06,snow,-0.56
1962,MG2B,1814,1962/06/23,snow,1962/08/06,snow,-0.66
1962,MG2B,1814,1962/06/23,snow,1962/08/06,snow,-0.71
1962,MG1,1356,1962/06/23,snow,1962/07/09,snow,-0.26
1962,MG1,1356,1962/06/23,snow,1962/07/09,snow,-0.26
1962,MG1,1356,1962/06/23,snow,1962/07/09,snow,-0.26
1962,MG1,1356,1962/06/23,snow,1962/07/09,snow,-0.28
1962,MG1,1356,1962/06/23,snow,1962/07/09,snow,-0.28
1962,MG1,1356,1962/06/23,snow,1962/07/09,snow,-0.27
1962,MG1,1356,1962/07/09,snow,1962/07/23,snow,-0.35
1962,MG1,1356,1962/07/09,snow,1962/07/23,snow,-0.42
1962,MG1,1356,1962/07/09,snow,1962/07/23,snow,-0.33
1962,MG1,1356,1962/07/09,snow,1962/07/23,snow,-0.37
1962,MG1,1356,1962/07/09,snow,1962/07/23,snow,-0.35
1962,MG1,1356,1962/07/09,snow,1962/07/23,snow,-0.28
1962,MG1,1356,1962/06/23,snow,1962/07/23,snow,-0.61
1962,MG1,1356,1962/06/23,snow,1962/07/23,snow,-0.67
1962,MG1,1356,1962/06/23,snow,1962/07/23,snow,-0.59
1962,MG1,1356,1962/06/23,snow,1962/07/23,snow,-0.65
1962,MG1,1356,1962/06/23,snow,1962/07/23,snow,-0.63
1962,MG1,1356,1962/06/23,snow,1962/07/23,snow,-0.55
1962,TKG4,1082,1962/06/20,snow,1962/07/01,snow,-0.21
1962,TKG4,1082,1962/06/20,snow,1962/07/01,snow,-0.21
1962,TKG4,1082,1962/06/20,snow,1962/07/01,snow,-0.22
1962,TKG4,1082,1962/06/20,snow,1962/07/01,snow,-0.20
1962,TKG4,1082,1962/06/20,snow,1962/07/01,snow,-0.20
1962,TKG4,1082,1962/06/20,snow,1962/07/01,snow,-0.20
1962,TKG4,1082,1962/06/20,snow,1962/07/01,snow,-0.21
1962,TKG4,1082,1962/07/01,snow,1962/07/06,snow,-0.08
1962,TKG4,1082,1962/07/01,snow,1962/07/06,snow,-0.11
1962,TKG4,1082,1962/07/01,snow,1962/07/06,snow,-0.10
1962,TKG4,1082,1962/07/01,snow,1962/07/06,snow,-0.11
1962,TKG4,1082,1962/07/01,snow,1962/07/06,snow,-0.12
1962,TKG4,1082,1962/07/01,snow,1962/07/06,snow,-0.11
1962,TKG4,1082,1962/07/06,snow,1962/07/16,snow,-0.22
1962,TKG4,1082,1962/07/06,snow,1962/07/16,snow,-0.23
1962,TKG4,1082,1962/07/06,snow,1962/07/16,snow,-0.21
1962,TKG4,1082,1962/07/06,snow,1962/07/16,snow,-0.22
1962,TKG4,1082,1962/07/06,snow,1962/07/16,snow,-0.22
1962,TKG4,1082,1962/07/06,snow,1962/07/16,snow,-0.22
1962,TKG4,1082,1962/07/06,snow,1962/07/16,snow,-0.22
1962,TKG4,1082,1962/07/16,snow,1962/08/10,snow,-0.47
1962,TKG4,1082,1962/07/16,snow,1962/08/10,snow,-0.49
1962,TKG4,1082,1962/07/16,snow,1962/08/10,snow,-0.44
1962,TKG4,1082,1962/07/16,snow,1962/08/10,snow,-0.48
1962,TKG4,1082,1962/07/16,snow,1962/08/10,snow,-0.47
1962,TKG4,1082,1962/06/20,snow,1962/08/10,snow,-0.98
1962,TKG4,1082,1962/06/20,snow,1962/08/10,snow,-1.04
